match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG,team_win_odds_open,draw_odds_open,opponent_win_odds_open
Bundesliga 2025_125_134_2025-08-24 13:30:00,2025-08-24 13:30:00,True,125,Mainz 05,l,134,FC Cologne,1.31655,19.0,0,197,15,12,1.0928,,1.31655,1.64676,12.0,1,183,17,7,1.64676,1.93,3.7,4.07
Bundesliga 2025_125_131_2025-08-31 13:30:00,2025-08-31 13:30:00,False,125,Mainz 05,d,131,Wolfsburg,1.81482,17.0,1,170,37,13,2.3599,,1.05704,0.616661,11.0,1,210,14,1,0.616661,3.54,3.68,2.08
Bundesliga 2025_125_136_2025-09-13 13:30:00,2025-09-13 13:30:00,True,125,Mainz 05,l,136,RasenBallsport Leipzig,0.770276,13.0,0,186,33,15,0.7684,,0.770276,1.5009,19.0,1,215,18,6,1.5009,2.6,3.7,2.64
Bundesliga 2025_121_125_2025-09-20 13:30:00,2025-09-20 13:30:00,False,125,Mainz 05,w,121,Augsburg,2.57047,12.0,4,224,15,9,2.4927,,2.57047,0.870451,18.0,1,124,30,6,0.870451,2.61,3.47,2.77
Bundesliga 2025_125_129_2025-09-27 13:30:00,2025-09-27 13:30:00,True,125,Mainz 05,l,129,Borussia Dortmund,0.525149,8.0,0,203,25,1,0.3764,,0.525149,1.75519,10.0,2,167,19,8,1.75519,3.32,3.79,2.13
Bundesliga 2025_118_125_2025-10-05 15:30:00,2025-10-05 15:30:00,False,125,Mainz 05,l,118,Hamburger SV,0.591161,11.0,0,157,25,7,0.5642,,0.591161,1.65883,15.0,4,303,21,3,1.65883,2.48,3.53,2.89
Bundesliga 2025_119_125_2025-10-18 13:30:00,2025-10-18 13:30:00,True,125,Mainz 05,l,119,Bayer Leverkusen,1.62978,12.0,3,337,31,10,0.1667,,0.872003,4.43462,20.0,4,184,17,15,3.67685,2.83,3.46,2.56
Bundesliga 2025_125_133_2025-10-26 15:30:00,2025-10-26 15:30:00,False,125,Mainz 05,l,133,VfB Stuttgart,1.40956,13.0,1,238,18,4,1.1705,,0.651781,1.66805,19.0,2,168,16,5,1.66805,4.24,4.13,1.79
Bundesliga 2025_123_125_2025-11-01 14:30:00,2025-11-01 14:30:00,True,125,Mainz 05,d,123,Werder Bremen,1.90161,10.0,1,253,32,7,2.1866,,1.90161,0.880505,5.0,1,175,16,9,0.880505,2.02,3.92,3.51
Bundesliga 2025_125_132_2025-11-09 18:30:00,2025-11-09 18:30:00,False,125,Mainz 05,l,132,Eintracht Frankfurt,0.121469,3.0,0,268,28,3,0.1895,,0.121469,1.77854,14.0,1,152,14,5,1.77854,3.9,4.11,1.87
Bundesliga 2025_120_125_2025-11-21 19:30:00,2025-11-21 19:30:00,True,125,Mainz 05,d,120,Hoffenheim,2.88712,17.0,1,215,20,10,2.2832,,2.88712,1.54404,19.0,1,175,19,18,1.54404,2.59,3.6,2.71
Bundesliga 2025_125_135_2025-11-30 18:30:00,2025-11-30 18:30:00,False,125,Mainz 05,l,135,Freiburg,0.0500621,1.0,0,446,19,3,0.0014,,0.0500621,4.15677,23.0,4,125,26,16,4.15677,4.27,3.55,1.93
Bundesliga 2025_125_130_2025-12-05 19:30:00,2025-12-05 19:30:00,True,125,Mainz 05,l,130,Borussia M.Gladbach,1.09331,8.0,0,221,26,10,0.7655000000000001,,1.09331,1.90297,14.0,1,310,16,5,1.90297,2.68,3.55,2.69
Bundesliga 2025_117_125_2025-12-14 16:30:00,2025-12-14 16:30:00,False,125,Mainz 05,d,117,Bayern Munich,0.803171,5.0,2,489,11,2,0.0269,,0.803171,4.67956,24.0,2,77,12,12,3.92179,21.79,12.74,1.09
Bundesliga 2025_125_288_2025-12-21 14:30:00,2025-12-21 14:30:00,True,125,Mainz 05,d,288,St. Pauli,1.87368,13.0,0,200,13,4,2.6564,,1.87368,0.227249,5.0,0,228,13,3,0.227249,1.98,3.5,4.11
Bundesliga 2025_125_240_2026-01-10 14:30:00,2026-01-10 14:30:00,False,125,Mainz 05,d,240,Union Berlin,1.56492,9.0,2,251,16,6,0.2811,,1.56492,3.6505,17.0,2,186,19,8,3.6505,3.92,3.2,2.14
Bundesliga 2025_125_280_2026-01-13 19:30:00,2026-01-13 19:30:00,True,125,Mainz 05,w,280,FC Heidenheim,1.95686,13.0,2,279,21,11,1.9043,,1.95686,1.23557,15.0,1,176,20,5,1.23557,1.67,3.85,5.58
Bundesliga 2025_125_134_2026-01-17 14:30:00,2026-01-17 14:30:00,False,125,Mainz 05,l,134,FC Cologne,1.91073,11.0,1,252,14,5,1.0433,,1.91073,2.41277,20.0,2,125,20,9,2.41277,3.25,3.5,2.15
Bundesliga 2025_125_131_2026-01-24 14:30:00,2026-01-24 14:30:00,True,125,Mainz 05,w,131,Wolfsburg,4.34199,20.0,3,156,18,4,2.9189000000000003,,2.82644,1.09338,7.0,1,224,16,0,1.09338,2.3,3.5,3.0
Bundesliga 2025_125_136_2026-01-31 14:30:00,2026-01-31 14:30:00,False,125,Mainz 05,w,136,RasenBallsport Leipzig,2.57678,11.0,2,403,32,5,1.7473,,1.81901,2.09422,15.0,1,146,12,17,2.09422,5.5,4.5,1.55
Bundesliga 2025_121_125_2026-02-07 14:30:00,2026-02-07 14:30:00,True,125,Mainz 05,w,121,Augsburg,3.00656,10.0,2,324,22,9,2.4712,,1.49101,1.35939,14.0,0,171,19,4,1.35939,2.05,3.6,3.5
Bundesliga 2025_125_129_2026-02-13 19:30:00,2026-02-13 19:30:00,False,125,Mainz 05,l,129,Borussia Dortmund,1.67199,10.0,0,325,14,2,1.3072,,1.67199,1.81026,14.0,4,270,18,5,1.81026,5.5,4.5,1.53
Bundesliga 2025_118_125_2026-02-20 19:30:00,2026-02-20 19:30:00,True,125,Mainz 05,d,118,Hamburger SV,1.75215,17.0,1,235,20,5,2.1144,,1.75215,0.823398,14.0,1,156,18,3,0.823398,2.1,3.4,3.5
Bundesliga 2025_119_125_2026-02-28 14:30:00,2026-02-28 14:30:00,False,125,Mainz 05,d,119,Bayer Leverkusen,0.9714,8.0,1,439,27,13,0.5864,,0.9714,1.94817,12.0,1,205,17,9,1.94817,4.5,4.0,1.7
Bundesliga 2025_125_133_2026-03-07 14:30:00,2026-03-07 14:30:00,True,125,Mainz 05,d,133,VfB Stuttgart,3.52523,18.0,2,323,13,10,2.7774,,3.52523,0.920068,11.0,2,152,15,10,0.920068,3.2,3.6,2.15
