match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG,team_win_odds_open,draw_odds_open,opponent_win_odds_open
Bundesliga 2025_119_120_2025-08-23 13:30:00,2025-08-23 13:30:00,False,120,Hoffenheim,w,119,Bayer Leverkusen,0.505193,10.0,2,363,23,6,0.7795000000000001,,0.505193,1.05253,7.0,1,227,15,3,1.05253,5.46,4.74,1.56
Bundesliga 2025_120_132_2025-08-30 13:30:00,2025-08-30 13:30:00,True,120,Hoffenheim,l,132,Eintracht Frankfurt,1.28178,17.0,1,188,29,5,0.9006000000000001,,1.28178,1.82087,9.0,3,271,14,5,1.82087,2.95,3.84,2.3
Bundesliga 2025_120_240_2025-09-13 13:30:00,2025-09-13 13:30:00,False,120,Hoffenheim,w,240,Union Berlin,3.34084,9.0,4,177,27,6,1.5884999999999998,,1.82529,3.0814,20.0,2,263,21,6,3.0814,2.68,3.51,2.66
Bundesliga 2025_117_120_2025-09-20 13:30:00,2025-09-20 13:30:00,True,120,Hoffenheim,l,117,Bayern Munich,1.03716,12.0,1,350,27,6,0.3516999999999999,,1.03716,2.7142,18.0,4,193,17,2,1.19865,7.87,6.19,1.33
Bundesliga 2025_120_135_2025-09-28 13:30:00,2025-09-28 13:30:00,False,120,Hoffenheim,d,135,Freiburg,2.24224,15.0,1,154,24,3,2.202,,2.24224,1.2587,6.0,1,242,15,0,1.2587,3.13,3.66,2.27
Bundesliga 2025_120_134_2025-10-03 18:30:00,2025-10-03 18:30:00,True,120,Hoffenheim,l,134,FC Cologne,1.42371,15.0,0,165,23,5,1.4142,,1.42371,1.30873,10.0,1,259,13,3,1.30873,1.93,3.98,3.79
Bundesliga 2025_120_288_2025-10-19 15:30:00,2025-10-19 15:30:00,False,120,Hoffenheim,w,288,St. Pauli,1.79103,14.0,3,199,22,8,2.0873,,1.79103,0.871968,10.0,0,300,21,6,0.871968,2.78,3.64,2.51
Bundesliga 2025_120_280_2025-10-25 13:30:00,2025-10-25 13:30:00,True,120,Hoffenheim,w,280,FC Heidenheim,2.4278,14.0,3,188,28,8,2.4494,,2.4278,0.902315,12.0,1,333,19,4,0.902315,1.6,4.45,5.32
Bundesliga 2025_120_131_2025-11-02 16:30:00,2025-11-02 16:30:00,False,120,Hoffenheim,w,131,Wolfsburg,1.74291,10.0,3,223,25,6,1.6327,,1.74291,1.40117,12.0,2,266,19,2,1.40117,2.45,3.78,2.77
Bundesliga 2025_120_136_2025-11-08 14:30:00,2025-11-08 14:30:00,True,120,Hoffenheim,w,136,RasenBallsport Leipzig,1.92349,12.0,3,269,33,5,1.6347,,1.92349,1.56187,17.0,1,243,21,8,1.56187,2.71,3.97,2.43
Bundesliga 2025_120_125_2025-11-21 19:30:00,2025-11-21 19:30:00,False,120,Hoffenheim,d,125,Mainz 05,1.54404,19.0,1,175,19,18,0.5543,,1.54404,2.88712,17.0,1,215,20,10,2.88712,2.71,3.6,2.59
Bundesliga 2025_120_121_2025-11-29 14:30:00,2025-11-29 14:30:00,True,120,Hoffenheim,w,121,Augsburg,1.79612,17.0,3,200,29,11,2.245,,1.79612,0.655496,14.0,0,322,19,5,0.655496,1.68,4.5,4.6
Bundesliga 2025_120_129_2025-12-07 16:30:00,2025-12-07 16:30:00,False,120,Hoffenheim,l,129,Borussia Dortmund,1.42364,11.0,0,177,21,4,1.6403,,1.42364,1.10147,8.0,2,324,19,7,1.10147,4.89,4.55,1.63
Bundesliga 2025_118_120_2025-12-13 14:30:00,2025-12-13 14:30:00,True,120,Hoffenheim,w,118,Hamburger SV,2.48806,10.0,4,247,38,13,2.1811,,2.48806,1.40522,14.0,1,314,16,4,0.647439,1.72,4.33,4.47
Bundesliga 2025_120_133_2025-12-20 14:30:00,2025-12-20 14:30:00,False,120,Hoffenheim,d,133,VfB Stuttgart,0.154175,4.0,0,200,24,6,0.2442,,0.154175,1.46116,10.0,0,199,23,1,1.46116,3.42,3.86,2.07
Bundesliga 2025_120_130_2026-01-14 19:30:00,2026-01-14 19:30:00,True,120,Hoffenheim,w,130,Borussia M.Gladbach,4.3777,18.0,5,189,26,14,2.9149000000000003,,3.61992,0.83294,7.0,1,392,19,3,0.83294,1.85,4.05,4.05
Bundesliga 2025_119_120_2026-01-17 14:30:00,2026-01-17 14:30:00,True,120,Hoffenheim,w,119,Bayer Leverkusen,2.11995,19.0,1,343,31,9,1.9893,,2.11995,1.27048,8.0,0,160,16,6,1.27048,2.4,3.8,2.7
Bundesliga 2025_120_132_2026-01-24 14:30:00,2026-01-24 14:30:00,False,120,Hoffenheim,w,132,Eintracht Frankfurt,1.62813,10.0,3,244,35,5,2.0266,,1.62813,0.829658,9.0,1,293,20,5,0.829658,2.3,3.75,2.8
Bundesliga 2025_120_123_2026-01-27 19:30:00,2026-01-27 19:30:00,False,120,Hoffenheim,w,123,Werder Bremen,0.567567,12.0,2,282,20,6,0.6891,,0.567567,1.42692,26.0,0,173,11,16,1.42692,2.0,3.6,3.7
Bundesliga 2025_120_240_2026-01-31 14:30:00,2026-01-31 14:30:00,True,120,Hoffenheim,w,240,Union Berlin,1.50682,9.0,3,121,20,3,1.6297,,0.749038,1.23275,16.0,1,263,23,4,1.23275,1.8,3.8,4.33
Bundesliga 2025_117_120_2026-02-08 16:30:00,2026-02-08 16:30:00,False,120,Hoffenheim,l,117,Bayern Munich,2.66829,9.0,1,223,17,5,0.1011,,2.66829,6.37827,27.0,5,251,31,16,4.86272,7.5,7.0,1.29
Bundesliga 2025_120_135_2026-02-14 14:30:00,2026-02-14 14:30:00,True,120,Hoffenheim,w,135,Freiburg,1.90052,25.0,3,176,20,16,2.2612,,1.90052,0.744054,13.0,0,304,14,4,0.744054,1.73,3.9,4.5
Bundesliga 2025_120_134_2026-02-21 14:30:00,2026-02-21 14:30:00,False,120,Hoffenheim,d,134,FC Cologne,1.8243,18.0,2,125,17,12,1.9035,,1.8243,1.12252,9.0,2,283,11,3,1.12252,2.05,3.8,3.3
Bundesliga 2025_120_288_2026-02-28 14:30:00,2026-02-28 14:30:00,True,120,Hoffenheim,l,288,St. Pauli,2.57411,20.0,0,155,27,15,2.4555,,2.57411,0.946504,11.0,1,327,7,2,0.946504,1.48,4.75,6.0
Bundesliga 2025_120_280_2026-03-07 14:30:00,2026-03-07 14:30:00,False,120,Hoffenheim,w,280,FC Heidenheim,2.79383,16.0,4,193,21,16,2.6482,,2.79383,0.966678,8.0,2,227,19,4,0.966678,1.57,4.5,5.0
