match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG,team_win_odds_open,draw_odds_open,opponent_win_odds_open
Ligue_1 2025_163_164_2025-08-15 18:45:00,2025-08-15 18:45:00,False,164,Marseille,l,163,Rennes,2.07298,24.0,0,160,24,7,1.9167,,2.07298,1.31418,12.0,1,347,9,3,1.31418,2.11,3.58,3.64
Ligue_1 2025_164_290_2025-08-23 15:00:00,2025-08-23 15:00:00,True,164,Marseille,w,290,Paris FC,3.337,12.0,5,289,18,6,2.7224,,1.81681,1.05457,8.0,2,415,16,2,1.05457,1.39,5.14,8.08
Ligue_1 2025_164_178_2025-08-31 18:45:00,2025-08-31 18:45:00,False,164,Marseille,l,178,Lyon,0.896862,5.0,0,192,11,4,0.1109999999999999,,0.896862,3.15727,17.0,1,199,21,8,3.15727,2.49,3.75,2.74
Ligue_1 2025_164_179_2025-09-12 18:45:00,2025-09-12 18:45:00,True,164,Marseille,w,179,Lorient,2.83367,15.0,4,216,32,15,2.9109000000000003,,2.07357,0.187377,4.0,0,328,7,0,0.187377,1.39,5.55,7.44
Ligue_1 2025_161_164_2025-09-22 18:45:00,2025-09-22 18:45:00,True,164,Marseille,w,161,Paris Saint Germain,1.77744,9.0,1,417,25,5,2.0659,,1.77744,0.919565,12.0,0,164,21,7,0.919565,3.73,3.98,1.94
Ligue_1 2025_164_225_2025-09-26 18:45:00,2025-09-26 18:45:00,False,164,Marseille,w,225,Strasbourg,2.00258,16.0,2,273,31,3,2.0872,,2.00258,1.0976,9.0,1,323,20,5,1.0976,2.01,3.78,3.76
Ligue_1 2025_164_180_2025-10-04 15:00:00,2025-10-04 15:00:00,False,164,Marseille,w,180,Metz,2.67719,21.0,3,259,23,22,2.8933,,2.67719,0.1529,4.0,0,401,6,0,0.1529,1.5,4.71,6.24
Ligue_1 2025_164_282_2025-10-18 19:05:00,2025-10-18 19:05:00,True,164,Marseille,w,282,Le Havre,4.20445,18.0,6,142,21,13,2.9751,,3.44435,0.352985,8.0,2,392,14,1,0.352985,1.33,5.87,8.66
Ligue_1 2025_164_210_2025-10-25 19:05:00,2025-10-25 19:05:00,False,164,Marseille,l,210,Lens,0.765479,17.0,1,201,26,4,0.4704,,0.765479,1.87596,8.0,2,452,19,4,1.11586,2.49,3.61,2.82
Ligue_1 2025_164_167_2025-10-29 19:05:00,2025-10-29 19:05:00,True,164,Marseille,d,167,Angers,1.58833,11.0,2,299,28,5,1.8565,,1.58833,0.996929,12.0,2,386,10,2,0.996929,1.22,6.86,12.64
Ligue_1 2025_164_275_2025-11-01 20:05:00,2025-11-01 20:05:00,False,164,Marseille,w,275,Auxerre,0.698037,6.0,1,265,27,0,0.9718,,0.698037,1.09464,9.0,0,337,11,6,1.09464,1.68,4.15,4.95
Ligue_1 2025_164_241_2025-11-08 16:00:00,2025-11-08 16:00:00,True,164,Marseille,w,241,Brest,3.09058,19.0,3,244,26,11,2.8008,,2.33049,0.69584,4.0,0,398,16,4,0.69584,1.47,4.67,6.94
Ligue_1 2025_164_170_2025-11-21 19:45:00,2025-11-21 19:45:00,False,164,Marseille,w,170,Nice,3.09163,13.0,5,329,14,8,2.461,,3.09163,1.36131,15.0,1,338,24,7,1.36131,1.96,3.7,3.92
Ligue_1 2025_164_174_2025-11-29 20:05:00,2025-11-29 20:05:00,True,164,Marseille,d,174,Toulouse,1.62768,20.0,2,125,31,7,1.783,,1.62768,1.09387,6.0,2,405,12,4,1.09387,1.62,4.17,5.51
Ligue_1 2025_160_164_2025-12-05 20:00:00,2025-12-05 20:00:00,False,164,Marseille,l,160,Lille,0.902813,6.0,0,251,25,2,1.7418,,0.902813,0.572302,5.0,1,372,18,7,0.572302,3.03,3.58,2.39
Ligue_1 2025_164_171_2025-12-14 19:45:00,2025-12-14 19:45:00,True,164,Marseille,w,171,Monaco,2.02467,18.0,1,166,11,14,1.4468,,2.02467,1.94962,18.0,0,259,21,11,1.94962,1.93,3.93,3.81
Ligue_1 2025_164_168_2026-01-04 14:00:00,2026-01-04 14:00:00,True,164,Marseille,l,168,Nantes,1.14141,11.0,0,249,24,5,0.2482,,1.14141,3.16795,15.0,2,286,23,9,2.40805,1.23,6.8,11.54
Ligue_1 2025_164_167_2026-01-17 20:05:00,2026-01-17 20:05:00,False,164,Marseille,w,167,Angers,3.91118,23.0,5,237,24,12,2.8278,,3.91118,1.03735,7.0,2,529,21,2,1.03735,1.6,4.0,5.75
Ligue_1 2025_164_210_2026-01-24 20:05:00,2026-01-24 20:05:00,True,164,Marseille,w,210,Lens,1.07239,10.0,3,273,22,3,1.3901,,1.07239,1.00288,7.0,1,417,26,4,1.00288,2.0,3.75,3.4
Ligue_1 2025_164_290_2026-01-31 16:00:00,2026-01-31 16:00:00,False,164,Marseille,d,290,Paris FC,2.71118,18.0,2,300,23,8,2.0089,,1.95109,1.82048,9.0,2,308,20,7,1.06045,1.9,3.8,3.8
Ligue_1 2025_161_164_2026-02-08 19:45:00,2026-02-08 19:45:00,False,164,Marseille,l,161,Paris Saint Germain,0.90611,9.0,0,369,29,3,0.0531,,0.90611,4.63077,22.0,5,217,18,19,4.63077,6.0,5.25,1.42
Ligue_1 2025_164_225_2026-02-14 16:00:00,2026-02-14 16:00:00,True,164,Marseille,d,225,Strasbourg,1.61535,10.0,2,338,20,10,0.8164,,1.61535,2.39153,12.0,2,250,30,10,1.63144,1.67,4.2,4.5
