match_id,date,is_home,team_id,team_name,result,opponent_id,opponent_name,team_xG,team_shots,team_goals,team_ppda_att,team_ppda_def,team_deep,team_xpts,team_result,team_npxG,opponent_xG,opponent_shots,opponent_goals,opponent_ppda_att,opponent_ppda_def,opponent_deep,opponent_npxG,team_win_odds_open,draw_odds_open,opponent_win_odds_open
Serie_A 2025_110_116_2025-08-24 16:30:00,2025-08-24 16:30:00,True,116,Cagliari,d,110,Fiorentina,1.51736,14.0,1,281,24,6,1.6263,,1.51736,1.14261,4.0,1,212,22,3,1.14261,3.38,3.32,2.29
Serie_A 2025_105_116_2025-08-30 18:45:00,2025-08-30 18:45:00,False,116,Cagliari,l,105,Napoli,0.64413,10.0,0,352,11,0,0.5751,,0.64413,1.73158,20.0,1,194,21,8,1.73158,10.32,5.39,1.32
Serie_A 2025_116_230_2025-09-13 13:00:00,2025-09-13 13:00:00,True,116,Cagliari,w,230,Parma Calcio 1913,1.76945,12.0,2,202,21,4,1.2785,,1.76945,1.95549,17.0,0,262,37,7,1.95549,2.2,3.24,3.7
Serie_A 2025_116_243_2025-09-19 18:45:00,2025-09-19 18:45:00,False,116,Cagliari,w,243,Lecce,2.21034,15.0,2,222,25,10,2.2102,,1.44904,1.13998,11.0,1,222,22,4,1.13998,2.85,2.96,2.91
Serie_A 2025_106_116_2025-09-27 18:45:00,2025-09-27 18:45:00,True,116,Cagliari,l,106,Inter,0.475174,6.0,0,265,25,1,0.0427,,0.475174,3.95419,20.0,2,220,24,12,3.95419,5.98,4.42,1.55
Serie_A 2025_116_99_2025-10-05 10:30:00,2025-10-05 10:30:00,False,116,Cagliari,d,99,Udinese,0.789093,8.0,1,243,18,2,0.2002,,0.789093,2.98545,23.0,1,158,21,9,2.98545,3.83,3.16,2.19
Serie_A 2025_116_97_2025-10-19 13:00:00,2025-10-19 13:00:00,True,116,Cagliari,l,97,Bologna,0.367775,4.0,0,281,19,3,0.5574,,0.367775,1.15836,10.0,2,190,32,3,1.15836,3.72,3.27,2.18
Serie_A 2025_116_94_2025-10-26 13:00:00,2025-10-26 13:00:00,False,116,Cagliari,d,94,Verona,0.837271,7.0,2,158,21,2,0.4568,,0.837271,2.03687,10.0,2,379,24,2,2.03687,3.76,3.1,2.24
Serie_A 2025_104_116_2025-10-30 16:30:00,2025-10-30 16:30:00,True,116,Cagliari,l,104,Sassuolo,0.845219,8.0,1,220,17,3,1.2446,,0.845219,0.937652,12.0,2,206,17,8,0.937652,2.66,3.19,2.91
Serie_A 2025_116_96_2025-11-03 19:45:00,2025-11-03 19:45:00,False,116,Cagliari,l,96,Lazio,1.48457,17.0,0,265,22,5,2.1325000000000003,,1.48457,0.587684,8.0,2,284,14,0,0.587684,6.08,4.15,1.58
Serie_A 2025_116_286_2025-11-08 14:00:00,2025-11-08 14:00:00,False,116,Cagliari,d,286,Como,0.615264,4.0,0,387,14,2,0.8191,,0.615264,1.0497,10.0,0,115,36,5,1.0497,6.65,4.51,1.5
Serie_A 2025_101_116_2025-11-22 14:00:00,2025-11-22 14:00:00,True,116,Cagliari,d,101,Genoa,1.37329,11.0,3,219,28,3,1.1464,,1.37329,1.61562,13.0,3,185,25,3,1.61562,2.98,2.92,2.81
